id,route,toll,median,female,age3050,distance,householdsize,high_income,med_income,occupanc,trans
2002766,1,2.9,-3.275553,0,0,37.52,1,0,1,1,1
2002853,0,1.65,-1.295179,1,1,26.58,4,0,0,1,0
2003044,0,1.65,-1.54037,1,1,63.56,2,1,0,2,1
2003179,0,3.25,-5.426097,0,0,30.32,4,0,1,2,1
2003316,0,3.25,-4.807616,1,0,17.09,2,0,1,1,1
2005365,0,3.25,-5.34896,0,0,17.09,2,1,0,1,1
2005709,1,2.9,-3.339896,0,1,24.44,2,0,0,2,1
2005993,0,3,-1.25332,0,1,51.46,4,0,0,1,0
2006013,0,3,-3.837622,0,1,29.63,5,0,1,1,1
2006081,1,1.5,-4.558501,0,1,37.12,4,0,0,3,1
2006260,0,3.25,-5.530786,1,1,20.8,4,0,1,2,1
2006578,0,1.625,-5.482712,0,1,19.29,3,0,0,3,1
2006693,0,3.25,-4.342789,1,0,33.28,3,0,1,1,1
2008162,0,3.25,-4.928362,0,1,36.64,5,0,1,1,0
2008399,1,1.625,-5.519444,1,1,43.09,2,1,0,3,1
2008477,0,3,-3.968006,0,0,13.1,5,0,0,1,1
2008485,0,3,-3.768528,1,1,21.84,5,0,1,2,1
2008489,0,3,-3.961113,1,1,21.18,5,1,0,1,1
2008537,0,2.9,-3.73152,1,1,22.43,4,0,1,2,1
2008588,1,3.25,-5.530786,1,1,24.09,5,0,1,1,1
2008729,0,3.25,-3.959355,1,1,33.28,3,0,0,1,1
2008740,0,2.9,-1.323006,0,1,30.32,5,0,0,2,0
2008741,0,3,-3.82081,0,1,32.58,4,1,0,2,1
2008764,0,3.25,-4.594528,0,0,32.35,2,0,1,1,1
2009182,0,2.9,-1.37291,1,1,10.62,4,0,1,2,1
2009195,0,3,-3.969455,1,0,17.91,3,0,0,1,1
2009207,0,3,-3.01018,0,1,15.17,3,1,0,1,1
2009386,0,2.9,-1.982454,0,0,35.56,3,0,1,1,1
2009393,0,1.95,-1.169607,0,1,24.74,3,0,1,1,1
2009428,0,2.9,-3.453339,1,1,45.71,3,0,1,1,1
2009449,0,3.25,-4.11096,1,1,18.5,4,0,1,1,1
2009511,0,2.9,-2.82557,1,1,43.3,6,0,1,1,1
2009518,1,1.5,-3.81253,0,1,47.28,4,1,0,3,1
2010019,1,3.25,-4.704754,0,1,27.54,4,1,0,1,1
2010042,0,2.9,-3.497128,0,0,38.09,4,0,0,1,0
2010133,0,1.65,-0.6033129,0,0,48,3,0,1,2,1
2010187,1,1.95,-0.9951659,1,0,36.48,2,1,0,1,1
2015066,1,3,-4.002799,0,1,23.04,2,1,0,2,1
2015237,1,2.9,-3.339896,0,1,50.45,4,1,0,1,1
2100024,1,3,-4.422228,0,1,35.71,2,0,0,1,1
2100111,0,1.95,-1.025752,0,1,18.27,5,0,0,1,0
2100155,1,2.9,-1.424489,0,1,19.33,3,0,1,1,1
2100169,0,2.9,-2.726185,1,1,33.55,5,0,1,1,1
2100217,1,3,-3.959366,0,0,29.86,4,0,0,2,1
2100272,1,1.95,-0.9345059,0,1,22.74,5,0,1,1,1
2150048,1,3,-3.768528,0,0,29.66,3,0,1,2,1
2150077,0,2.9,-3.349684,1,1,33.51,4,0,1,2,1
3001022,0,2.9,-2.14266,1,1,36.11,2,0,1,1,1
3001041,1,3,-3.874334,1,1,57.46,2,1,0,2,1
3001053,1,2.9,-3.73181,0,0,47.11,4,0,1,1,1
3001085,0,3,-4.553531,0,1,23.73,3,0,1,1,1
3001140,1,2.9,-3.275553,0,1,82.05,4,0,1,2,1
3001237,1,1.95,-0.9345059,0,1,39.56,2,0,0,1,1
3001306,0,2.9,-3.742595,0,0,71.54,2,1,0,1,1
3001328,1,3,-4.002799,0,1,32.17,2,0,1,2,1
3001337,0,3,-3.787047,0,0,22.53,4,1,0,1,1
3001349,1,2.9,-1.529983,0,0,53.62,2,0,1,2,1
3001384,1,1.95,-1.025211,0,0,44.31,2,0,0,1,1
3001400,0,3.25,-3.632327,0,1,25.13,3,1,0,1,1
3001428,0,3,-4.616691,0,1,44.91,5,0,1,1,1
3001446,0,2.9,-1.95441,0,0,26.44,2,0,0,1,1
3001493,0,2.9,-1.465565,0,0,44.62,2,0,0,1,0
3001527,0,2.9,-2.740222,0,0,59.22,5,0,1,2,1
3001538,1,3,-3.798334,0,0,46.52,2,0,1,1,1
3001577,0,1.65,-0.4959092,1,0,61.66,5,0,0,1,0
4000021,0,2.9,-2.189043,0,1,25.21,6,0,0,2,0
4000105,0,1.45,-3.742595,1,1,26.1,2,0,0,3,0
4000118,0,2.9,-3.73181,1,1,49.6,3,0,0,2,0
4000126,1,2.9,-2.856982,0,1,36.82,9,0,0,1,1
4000150,0,2.9,-1.114294,0,1,55.76,4,0,0,1,0
4000164,1,3,-4.703961,1,0,19.33,5,0,1,1,1
4000245,0,3,-4.703961,0,0,37.21,4,0,0,1,0
4000307,0,1.5,-3.822882,0,1,25.02,3,0,0,3,0
4000317,0,3.25,-4.704754,0,1,54.86,4,0,1,1,1
4000339,1,1.95,-1.184322,0,1,76.35,6,1,0,1,1
4000350,0,3,-4.476566,1,0,17.13,2,1,0,1,1
4000510,0,2.9,-1.210005,0,0,22.67,2,0,1,1,1
4000625,0,1.65,-0.4274945,0,1,48.31,4,0,0,1,0
4000639,1,1.5,-4.345901,0,1,29.9,2,0,0,3,1
4000669,0,2.9,-2.82557,0,0,72.58,2,1,0,1,1
4000677,1,3.25,-4.849391,0,0,50.06,2,1,0,2,1
4000791,0,2.9,-2.922082,0,0,37.92,5,0,1,1,0
4000855,1,3,-3.968006,0,1,16.57,4,1,0,1,1
4000866,0,1.45,-3.649563,1,1,20.31,5,0,1,3,1
4000883,0,2.9,-1.95441,1,1,17.12,2,0,0,1,1
4000885,0,3,-3.837622,0,1,27.54,5,0,0,2,0
4000895,0,2.9,-2.922082,1,0,41.14,4,0,1,1,0
4000897,0,3,-4.01118,0,1,26.58,3,0,1,1,1
4000948,0,2.9,-1.156321,0,1,16.06,3,0,0,1,1
4000979,0,3,-3.82081,0,1,61.34,5,0,0,1,0
4001008,1,3,-4.328523,1,0,20.46,4,0,0,1,1
4001028,0,3,-4.485382,0,1,59.93,2,0,1,1,1
4001182,1,2.9,-3.67771,0,1,36.48,3,0,0,1,1
4001183,0,1.95,-1.074014,0,1,33.85,4,0,1,1,0
4001336,1,2.9,-2.922082,0,1,32.87,4,1,0,1,1
4001345,0,3,-4.485382,0,1,22.92,3,0,1,1,1
4001366,0,3,-4.002598,0,1,15.46,4,0,1,1,1
4001392,0,3.25,-3.675946,0,1,29.95,4,0,0,1,0
4001424,1,3,-2.486067,1,1,26.7,3,0,0,2,1
4001522,1,2.9,-1.156321,1,1,56.96,2,0,1,2,1
4001533,0,1.5,-4.476566,1,1,22.8,6,0,1,3,1
4001541,1,3,-3.822882,1,0,26.1,2,0,0,1,1
4001542,0,3.25,-5.530786,0,0,30.93,4,0,1,1,1
4001558,1,3.25,-5.583529,0,1,26.49,4,1,0,2,1
4001589,0,2.9,-3.409326,0,1,48.54,5,0,0,2,0
4001618,1,2.9,-1.08499,0,0,33.2,3,1,0,1,1
4001650,1,2.9,-1.465565,1,1,51.94,3,0,0,1,1
4001655,1,1.45,-2.396078,1,1,30.93,4,0,1,3,1
4001740,0,3.25,-3.980981,0,0,18.99,2,0,1,1,0
4001760,0,2.9,-2.047282,0,1,71.53,4,0,1,1,1
4001800,1,2.9,-1.156321,1,1,61.39,3,0,1,1,1
